latitude,longitude,name,,
51.5617891,5.0913062,Point 192,,
51.5771538,4.7699561,Point 193,,
51.5839808,4.6573462,Point 194,,
51.6990327,5.3192725,Point 195,,
52.0871845,5.1160254,Point 196,,
51.8418009,5.8507361,Point 197,,
52.3704867,4.895849,Point 198,,
51.9685656,5.6703367,Point 200,,
53.5417428,9.9436762,Point 201,,
52.3716599,9.7388302,Point 202,,
54.0247824,10.7547773,Point 203,,
53.6435504,12.6516998,Point 204,,
52.394498,13.0659667,Point 205,,
52.5207995,13.4050306,Point 206,,
52.5798824,14.1047853,Point 207,,
52.3479668,14.5616594,Point 208,,
51.049403,13.7357754,Point 209,,
50.8375663,14.7481246,Point 210,,
50.7655281,15.047502,Point 211,,
50.2115904,15.8055587,Point 212,,
50.0354979,15.783586,Point 213,,
48.983336,14.4817061,Point 214,,
49.1848098,15.4594893,Point 215,,
50.4135856,16.1741357,Point 216,,
48.1402948,17.1066737,Point 217,,
49.300431,19.9495397,Point 219,,
47.4936675,19.0470881,Point 220,,
43.2063429,19.0662141,Point 221,,
42.4992873,18.7014403,Point 222,,
42.4344532,19.2562499,Point 223,,
41.4039844,2.1391714,Point 224,,
38.3428148,-0.4836275,Point 225,,
37.9892681,-1.1411158,Point 226,,
37.6247061,-1.0092798,Point 227,,
37.6638523,-1.7124048,Point 228,,
37.181405,-3.625781,Point 229,,
37.3257746,-3.2694901,Point 230,,
36.7151201,-4.4337463,Point 231,,
36.5125019,-4.8862706,Point 232,,
36.7472435,-5.166422,Point 233,,
36.5202278,-5.0112401,Point 234,,
36.1366281,-5.3508953,Point 235,,
37.3940287,-5.9729961,Point 236,,
35.7710508,-5.8224602,Point 237,,
37.0205649,-7.9454759,Point 238,,
37.0950878,-8.2613329,Point 239,,
37.0985711,-8.6749727,Point 240,,
37.0265011,-8.9871327,Point 241,,
38.7268474,-9.1389179,Point 242,,
38.7795922,-9.4976901,Point 243,,
38.6941636,-9.4200992,Point 244,,
38.802338,-9.3740939,Point 245,,
40.2072738,-8.4086704,Point 246,,
41.2940453,-7.752347,Point 247,,
41.0666549,-7.8237582,Point 248,,
41.1804488,-8.6477328,Point 249,,
41.2810429,-8.2882539,Point 250,,
41.2640127,-8.0781404,Point 251,,
41.7022677,-8.1712766,Point 252,,
41.6717573,-8.1819196,Point 253,,
41.5793689,-8.2729001,Point 254,,
40.4170242,-3.6968057,Point 255,,
55.9597019,-3.1741231,Point 256,,
35.8628604,-5.3617081,Point 257,,
35.5729672,-5.3672013,Point 258,,
35.1653487,-5.257338,Point 259,,
35.3000959,-5.1970849,Point 260,,
34.027595,-5.0052934,Point 261,,
34.9732247,-5.546443,Point 262,,
34.7455985,-5.5409499,Point 263,,
34.4856546,-5.5079909,Point 264,,
34.1526285,-5.4675412,Point 265,,
33.8646153,-5.5444455,Point 266,,
34.6771665,-6.014111,Point 267,,
34.2605232,-5.7394528,Point 268,,
35.1770786,-6.1294675,Point 269,,
34.8892127,-6.2887692,Point 270,,
31.6146085,-7.9780368,Point 271,,
31.0450974,-7.2062473,Point 272,,
30.4313154,-9.5820407,Point 273,,
31.498172,-9.7331027,Point 274,,
32.6925398,-4.7412823,Point 275,,
32.817272,-4.9555157,Point 276,,
33.5262581,-5.1057126,Point 277,,
33.434624,-5.2320554,Point 278,,
33.2395801,-5.0809934,Point 279,,
33.8196691,10.841771,Point 280,,
32.9205297,10.4572495,Point 281,,
35.6701364,10.105687,Point 282,,
35.9126834,14.4766774,Point 283,,
36.0460401,14.243218,Point 284,,
35.2963277,25.1650254,Point 285,,
34.9854049,34.069649,Point 286,,
34.9876551,33.7029803,Point 287,,
35.1685963,33.3617175,Point 288,,
35.1766647,33.3601726,Point 289,,
34.9821114,32.7378157,Point 290,,
34.6813212,33.025174,Point 291,,
34.9023674,33.6287354,Point 292,,
36.6687856,29.1293832,Point 293,,
37.8708781,32.5186655,Point 294,,
37.8535309,27.278187,Point 295,,
40.1981062,25.9103891,Point 296,,
41.0169349,28.9689054,Point 297,,
37.9135792,29.1337003,Point 298,,
38.6402751,34.8191565,Point 299,,
36.24078,29.989517,Point 300,,
36.2009944,37.1526598,Point 301,,
34.8299461,36.1288775,Point 302,,
34.6674598,36.2394274,Point 303,,
34.4412548,35.8356799,Point 304,,
34.0074981,36.2229479,Point 305,,
34.1326308,35.637926,Point 306,,
33.8957791,35.4953612,Point 307,,
33.5579449,35.3708378,Point 308,,
33.2721334,35.1984645,Point 309,,
33.6948353,35.5812798,Beit ed-Dine,,
33.9443893,35.646769,Point 310,,
34.209034,35.8539261,Point 311,,
33.8228003,35.8440324,Point 312,,
33.5034696,36.2765117,Point 313,,
35.1437319,36.7528243,Point 314,,
34.5620577,38.2897035,Point 315,,
32.9944923,35.6863883,Point 316,,
32.7926955,35.5243399,Point 317,,
32.8792361,35.5490592,Point 318,,
32.9610835,35.4831412,Point 319,,
32.927662,35.0752738,Point 320,,
32.7965257,34.9856441,Point 321,,
32.6960373,35.2740352,Point 322,,
32.5069939,34.902987,Point 323,,
32.0821209,34.7574182,Point 324,,
32.2239664,35.2669091,Point 325,,
32.4606567,35.2984948,Point 326,,
31.9058611,35.2181519,Point 327,,
31.7728628,35.2112855,Point 328,,
31.7051234,35.1769532,Point 329,,
31.7997112,35.4557313,Point 330,,
31.2406348,34.803823,Point 331,,
31.4517467,35.3874717,Point 332,,
31.3097723,35.3609829,Point 333,,
31.0612932,35.014227,Point 334,,
30.6084926,34.7999936,Point 335,,
30.8317321,34.7663122,Point 336,,
29.5492084,34.951041,Point 337,,
29.4485074,34.8463275,Point 338,,
28.5674273,33.9519084,Point 339,,
30.0547023,31.2333367,Point 340,,
29.9726515,31.1320565,Point 341,,
31.2599733,32.3048593,Point 342,,
24.4870812,54.3731647,Point 343,,
25.224617,55.2641208,Point 344,,
24.3763032,56.7129924,Point 345,,
23.5790951,58.3876887,Point 346,,
23.1302607,57.308282,Point 347,,
49.8674084,24.0188493,Point 348,,
50.4555682,30.5210062,Point 349,,
51.2492233,22.568654,Point 350,,1
50.0370615,21.9753923,Point 351,,
49.1828104,22.568654,Point 352,,
50.0511723,19.9319353,Point 353,,
49.8319887,19.0420427,Point 354,,
50.2623365,19.02007,Point 355,,
50.6679458,21.7501726,Point 356,,
50.0688049,22.2473039,Point 357,,
52.1798983,22.07501,Point 358,,
53.8027663,21.5609638,Point 359,,
54.0339727,19.038464,Point 360,,
54.3521378,18.6484494,Point 361,,
54.518275,18.5330929,Point 362,,
54.826387,18.335339,Point 363,,
54.604273,18.8132443,Point 364,,
54.7600033,17.5606199,Point 365,,
54.2609201,16.0499997,Point 366,,
54.582118,16.8712278,Point 367,,
54.1796459,15.5694174,Point 368,,
53.9257007,14.4240927,Point 369,,
53.9655405,14.5705687,Point 370,,
53.4276972,14.5488405,Point 371,,
52.4001175,16.9370257,Point 372,,
53.1247346,17.9807269,Point 373,,
53.0125139,18.6179339,Point 374,,
52.6974042,21.0898577,Point 375,,
50.8956754,15.7198172,Point 376,,
50.9164591,15.327056,Point 377,,
50.829799,15.5193167,Point 378,,
50.7707781,15.7720023,Point 379,,
51.1099933,15.5852347,Point 380,,
51.0375126,15.3819876,Point 381,,
50.4448294,16.6564017,Point 382,,
50.4019576,16.3817435,Point 383,,
50.3395791,16.8755601,Point 384,,
50.5919606,16.7869216,Point 385,,
51.1138734,17.0258742,Point 386,,
51.0828268,16.4381057,Point 387,,
51.2309726,15.929988,Point 388,,
51.8459642,16.5919143,Point 389,,
52.0803548,16.6303664,Point 390,,
52.2799263,16.6866714,Point 391,,
51.603752,16.8516088,Point 392,,
51.7553227,19.452622,Point 393,,
51.6566039,19.3482518,Point 394,,
51.598634,18.6670995,Point 395,,
51.3797298,19.7712255,Point 396,,
52.2255059,21.0236669,Point 397,,
52.1227589,20.727036,Point 398,,
52.437824,20.6652379,Point 399,,
54.2734631,18.0202794,Point 400,,
55.67869,12.5908638,Point 401,,
59.3368636,18.0237238,Point 402,,
58.7504061,17.0174802,Point 403,,
59.6493928,17.9342942,Stockholm Arlanda Airport,,
59.9199985,10.7293197,Point 404,,
59.1429144,10.2184554,Point 405,,
58.162812,8.0156966,Point 406,,
57.985568,7.5282627,Point 407,,
58.971715,5.7313213,Point 409,,
60.3940518,5.3156774,Point 410,,
61.0599745,5.5002315,Point 411,,
61.2106698,6.5344912,Point 412,,
63.4348974,10.405164,Point 416,,
62.5608146,7.691541,Point 417,,
67.2855992,14.4096674,Point 418,,
67.8958633,13.01327,Point 419,,
68.2405438,14.5953013,Point 420,,
68.6311167,16.5589538,Point 421,,
68.4951008,16.7182555,Point 422,,
68.4667808,15.5179761,Point 423,,
60.1633141,24.9352146,Point 424,,
61.5016748,23.7486912,Point 425,,
62.2474083,25.7701755,Point 426,,
55.7672841,37.6122708,Point 427,,
56.9019482,24.0385785,Point 428,,
42.7129784,23.2955636,Point 429,,
40.6621622,22.9220285,Point 430,,
40.0972583,22.4990548,Point 431,,
39.6431443,22.4200905,Point 432,,
39.5965996,19.9207009,Point 433,,
39.6642907,20.8600319,Point 434,,
38.9673219,20.7556618,Point 435,,
39.7073527,21.6240423,Point 436,,
37.9804232,23.724271,Point 437,,
51.235661,71.3884555,Point 438,,
42.8680367,74.5707067,Point 439,,
43.237323,76.9547399,Point 440,,
28.4875734,-16.2907344,Point 441,,
28.0473093,-16.6917354,Point 442,,
28.2942748,-16.8235714,Point 443,,
28.2870193,-16.401971,Point 444,,
28.2809726,-16.6313106,Point 445,,
28.1236389,-15.4770595,Point 446,,
16.6012518,-22.9094424,Point 447,,
16.8841029,-24.9880858,Point 448,,
16.8366451,-25.0570537,Point 449,,
37.8866108,-4.7854546,Point 450,,
51.5580089,-0.1688732,Point 451,,
51.5419972,-0.1471581,Point 452,,
51.5047533,-0.0776724,Point 453,,
51.5007997,-0.1293425,Point 454,,
51.5130091,0.0062579,Point 455,,
50.8718774,-0.74008,Point 456,,
50.8191348,-0.1372188,Point 457,,
51.8824264,5.2710258,Point 458,,
51.4541314,5.3863074,Point 459,,
47.6925558,9.2716366,Point 460,,
44.8182958,5.9474437,Point 461,,
45.7579165,7.0303974,Point 462,,
45.4486084,8.2921399,Point 463,,
45.7897835,8.5394712,Point 464,,
46.0393194,9.3019596,Point 465,,
46.1554492,8.7675471,Point 466,,
46.4561977,8.6612089,Point 467,,
46.6681085,12.3057389,Point 468,,
46.5452688,11.5613474,Point 469,,
43.05529,11.48883,Point 470,,
43.09868,11.78752,Point 471,,
42.8954136,11.7637531,Point 473,,
42.9140647,12.7309789,Point 474,,
42.8869031,12.6482381,Point 475,,
42.9873745,12.6695449,Point 476,,
43.1862281,12.1351346,Point 477,,
49.9680161,16.99346,Point 478,,
50.0728938,17.1566716,Point 479,,
50.6951856,17.3841043,Point 480,,
50.6956206,17.4798914,Point 481,,
50.6938062,17.3023604,Point 482,,
50.7181047,16.8306981,Point 483,,
50.8127822,17.0669042,Point 484,,
50.4402526,17.7672989,Point 485,,
50.6667074,17.9078581,Point 486,,
50.3429466,18.2063548,Point 487,,
50.3003894,18.6764482,Point 488,,
50.3051034,18.7868852,Point 489,,
50.4207261,19.2098878,Point 490,,
50.4712528,19.0785398,Point 491,,
50.3528693,19.1135838,Point 492,,
50.4551076,19.5452877,Point 493,,
50.0762371,19.7891691,Point 494,,
50.0512848,19.9471116,Point 495,,
50.0674299,19.9914002,Point 496,,
50.0600713,20.0082182,Point 497,,
49.5185231,19.9636596,Point 498,,
49.2373105,19.807669,Point 499,,
49.2332008,20.0161616,Point 500,,
49.382466,20.2334404,Point 501,,
49.4227922,20.3166962,Point 502,,
49.3973081,20.413793,Point 503,,
49.4408015,20.4274423,Point 504,,
49.4243906,20.4840905,Point 505,,
49.4223514,20.9537883,Point 506,,
49.3838867,22.4480026,Point 507,,
49.0727826,22.7060218,Point 508,,
40.9525019,17.2984082,Point 509,,
40.7527305,14.4869789,Point 510,,
46.4007924,13.839524,Point 511,,
46.4746895,13.7236403,Point 512,,
52.4481102,13.0495806,Point 513,,
52.5227851,13.2950334,Point 514,,
52.4980243,13.4004335,Point 515,,
52.5038776,13.4378807,Point 516,,
52.5748063,13.5031568,Point 517,,
53.2149884,18.0360627,Point 518,,
53.2856518,18.1260133,Point 519,,
53.3307823,18.1953644,Point 520,,
53.3900366,18.2476741,Point 521,,
53.4131666,18.3510142,Point 522,,
53.4919843,18.4520893,Point 523,,
53.632686,18.6460667,Point 524,,
53.6788726,18.668726,Point 525,,
53.8257351,18.6815113,Point 526,,
53.9118529,18.6880012,Point 527,,
53.9663587,18.7443482,Point 528,,
54.0922192,18.7777759,Point 529,,
54.2561713,18.6356716,Point 530,,
54.2850759,18.4825442,Point 531,,
54.3778283,18.4824401,Point 532,,
54.4429649,18.5607177,Point 533,,
54.6969999,18.6759619,Point 534,,
54.7358689,18.577085,Point 535,,
54.7600441,18.5063605,Point 536,,
54.7556857,18.3923773,Point 537,,
54.7146543,18.4002738,Point 538,,
54.6052106,18.3419089,Point 539,,
54.5427222,18.4490256,Point 540,,
51.8862598,16.5666549,Point 541,,
51.90914,16.5687148,Point 542,,
51.9593612,16.5767225,Point 543,,
51.9938326,16.582559,Point 544,,
52.0281394,16.6003925,Point 545,,
52.0398615,16.605714,Point 546,,
52.0902001,16.658414,Point 547,,
52.1416109,16.7608194,Point 548,,
52.2436928,16.8490887,Point 549,,
52.1847927,16.7996502,Point 550,,
52.2230866,16.8319225,Point 551,,
52.2840363,16.8552685,Point 552,,
52.3516133,16.9108868,Point 553,,
52.3201462,16.8875408,Point 554,,
52.4146514,16.9531266,Point 555,,
52.4772184,17.2542693,Point 556,,
52.4311901,17.0139433,Point 557,,
52.5348949,17.5790526,Point 558,,
52.5002144,17.4376036,Point 559,,
52.6554051,17.9533854,Point 560,,
52.7996361,18.2517304,Point 561,,
52.8987435,18.1377473,Point 562,,
52.999691,18.0594697,Point 563,,
52.24597,15.9195451,Point 564,,
52.3274554,15.2905778,Point 565,,
52.2350379,15.3808717,Point 566,,
51.3533531,16.1449504,Point 567,,
50.7486667,16.4182296,Point 568,,
50.7208164,16.3118053,Point 569,,
50.6176756,16.0852123,Point 570,,
50.5129983,16.3049388,Point 571,,
50.7368981,15.7329631,Point 572,,
50.8064884,15.8868038,Point 573,,
50.7806631,15.5527507,Point 574,,
50.8492313,15.5838242,Point 575,,
50.9370313,15.2909745,Point 576,,
50.9210184,15.0760545,Point 577,,
50.7768713,14.7852601,Point 578,,
68.0885133,13.2317871,Point 579,,
68.155039,13.5201782,Point 580,,
68.2458165,13.7481445,Point 581,,
68.2824334,14.0722412,Point 582,,
68.2060818,14.2287963,Point 583,,
68.3392765,14.7149414,Point 584,,
68.4454759,14.8893493,Point 585,,
68.4589086,15.1884917,Point 586,,
68.5291393,15.7635171,Point 587,,
68.4687389,15.8926064,Point 588,,
68.5336628,16.1109597,Point 589,,
68.5582749,16.4481026,Point 590,,
68.6084202,16.5682656,Point 591,,
58.266687,8.3803028,Point 592,,
58.2861193,6.7064841,Point 593,,
58.8971753,6.069469,Point 594,,
58.9878604,6.1463733,Point 595,,
59.96505,5.3359462,Point 596,,
60.1131897,5.3991176,Point 597,,
60.3327965,5.3167202,Point 598,,
60.917437,5.5276921,Point 599,,
61.1638916,5.9340682,Point 600,,
61.3514684,6.5184256,Point 601,,
61.3357038,6.4224669,Point 602,,
61.3424757,6.3099,Point 603,,
61.3244879,6.227642,Point 604,,
61.3384216,6.1468027,Point 605,,
61.4143452,6.1635143,Point 606,,
61.7923824,6.4955074,Point 607,,
61.7420352,6.5004427,Point 608,,
61.7001314,6.5322001,Point 609,,
61.8354156,6.8023592,Point 610,,
61.9024412,6.7158419,Point 611,,
62.0868942,6.8649771,Point 612,,
62.2899299,6.8496277,Point 613,,
62.2969833,6.6817428,Point 614,,
62.4103438,6.5463762,Point 615,,
62.4722666,6.142081,Point 616,,
62.4975043,7.5569549,Point 617,,
62.5244443,7.7560821,Point 618,,
62.567814,7.5851074,Point 619,,
62.5966908,7.3294491,Point 620,,
60.1905992,11.08393,Point 621,,
63.459104,10.9196432,Point 622,,
53.579546,-0.0590035,Point 617,,
51.8439798,-1.3639444,Point 618,,
44.8418687,11.6256607,Point 619,,
45.4116791,12.3647405,Point 620,,
45.4564274,12.3526273,Point 621,,
45.9393088,9.2407271,Point 622,,
40.7795489,-73.9605214,Point 623,,
40.7082779,-74.0080716,Point 624,,
40.0815197,-82.8124565,Point 625,,
28.4763162,-81.4791202,Point 626,,
25.7730216,-80.1946207,Point 627,,
25.6721469,-80.1591816,Point 628,,
37.0055234,-110.2050887,Point 629,,
36.9380126,-110.0639274,Point 630,,
36.7192354,-110.2727731,Point 631,,
36.8776427,-111.5156837,Point 632,,
36.9555979,-111.4926811,Point 633,,
36.9186608,-113.8625042,Point 634,,
36.0155188,-114.7397691,Point 635,,
35.8730059,-114.6608154,Point 636,,
36.1526217,-115.1629433,Point 637,,
33.9997637,-118.4881269,Point 638,,
34.4280512,-119.7019695,Point 639,,
35.3699107,-120.8506862,Point 640,,
36.5931493,-121.9063492,Point 641,,
36.486123,-121.1798783,Point 642,,
37.2325428,-121.0886151,Point 643,,
37.7328184,-119.6051614,Point 644,,
37.488588,-119.9649637,Point 645,,
38.7277203,-120.8008624,Point 646,,
38.9331218,-119.9961139,Point 647,,
39.2635073,-120.1258899,Point 648,,
39.123549,-119.9054767,Point 649,,
38.9582214,-120.1080371,Point 650,,
36.9704662,-122.038505,Point 651,,
37.7672184,-122.440205,Point 652,,
37.8943947,-122.298756,Point 653,,
37.9004167,-122.6430222,Point 654,,
38.2864819,-122.464525,Point 655,,
38.5076459,-122.4777532,Point 656,,
32.6554481,-16.92398,Point 657,,
1.3249027,103.8329044,Point 658,,
2.1869164,102.2398869,Point 659,,
3.1087726,101.693317,Point 660,,
5.4134415,100.3099739,Point 661,,
9.1412201,99.3366564,Point 662,,
9.5538335,100.0294817,Point 663,,
9.4617325,99.9786699,Point 664,,
9.6492943,99.6731127,Point 665,,
13.766009,100.5376345,Point 666,,
39.9087027,116.4000104,Point 667,,
40.6486901,117.2677909,Point 668,,
-19.2540262,146.8198379,Point 669,,
-19.1538428,146.8596634,Point 670,,
-21.1458957,149.1825941,Point 671,,
-25.2808904,152.9049787,Point 672,,
-26.1261924,152.7443037,Point 673,,
-27.4705478,153.0456816,Point 674,,
-28.1637441,153.5485616,Point 675,,
-28.0048918,153.4215548,Point 676,,
-23.3645054,150.5126792,Point 677,,
-33.8112213,151.005628,Point 678,,
-33.8551365,151.2072459,Point 679,,
-33.8987181,151.2761407,Point 680,,
-33.7987943,151.2864761,Point 681,,
-37.8012486,144.9613179,Point 682,,
-37.9511105,145.2514256,Point 683,,
-38.4851381,145.4650948,Point 684,,
-38.5608232,145.3443846,Point 685,,
-38.4511865,145.2254437,Point 686,,
-38.615295,143.0075675,Point 687,,
-38.3819455,142.2159203,Point 688,,
-37.1094685,142.4126423,Point 689,,
-37.6486818,145.3929204,Point 690,,
-20.9222717,149.0468291,Point 691,,
36.5496354,29.111845,Point 692,,
37.950845,27.369954,Selçuk,,
37.7093686,28.7273685,Aphrodisias Ancient City,,
36.356111,29.318611,Ksantos,,
36.2753567,29.2843598,Patara Beach,,
36.2690627,29.4092257,Kalkan,,
35.178229,-113.7994405,Point 693,,
36.0511931,-112.1095926,Point 694,,
